,GameID,Date,Year,Home,Away,Home_FG,Home_FGA,Home_FG%,Home_3P,Home_3PA,Home_3P%,Home_FT,Home_FTA,Home_FT%,Home_ORB,Home_DRB,Home_TRB,Home_AST,Home_STL,Home_BLK,Home_TOV,Home_PF,Home_PTS,Away_FG,Away_FGA,Away_FG%,Away_3P,Away_3PA,Away_3P%,Away_FT,Away_FTA,Away_FT%,Away_ORB,Away_DRB,Away_TRB,Away_AST,Away_STL,Away_BLK,Away_TOV,Away_PF,Away_PTS,W_L,PT_Diff
14,CHACLE1997-06-29,1997-06-29,1997,CHA,CLE,27,65,0.4153846153846154,5,10,0.5,8,12,0.6666666666666666,6.0,28.0,34,25.0,10,5.0,16.0,17.0,67,16,56,0.2857142857142857,2,10,0.2,10,14,0.7142857142857143,6.0,23.0,29,10.0,7,4.0,23.0,16.0,44,W,23
15,NYLPHO1997-06-29,1997-06-29,1997,NYL,PHO,23,58,0.39655172413793105,2,12,0.16666666666666666,17,27,0.6296296296296297,11.0,24.0,35,14.0,8,3.0,18.0,22.0,65,20,71,0.28169014084507044,6,19,0.3157894736842105,11,15,0.7333333333333333,21.0,22.0,43,9.0,5,1.0,20.0,24.0,57,W,8
16,HOULAS1997-06-30,1997-06-30,1997,HOU,LAS,22,59,0.3728813559322034,1,9,0.1111111111111111,26,35,0.7428571428571429,13.0,26.0,39,16.0,11,2.0,25.0,24.0,71,23,67,0.34328358208955223,3,11,0.2727272727272727,17,24,0.7083333333333334,14.0,21.0,35,14.0,11,6.0,20.0,30.0,66,W,5
17,NYLHOU1997-07-02,1997-07-02,1997,NYL,HOU,26,63,0.4126984126984127,2,9,0.2222222222222222,18,26,0.6923076923076923,13.0,18.0,31,13.0,6,2.0,9.0,19.0,72,25,56,0.44642857142857145,7,16,0.4375,10,14,0.7142857142857143,11.0,17.0,28,15.0,5,0.0,15.0,22.0,67,W,5
18,SACUTA1997-07-02,1997-07-02,1997,SAC,UTA,30,76,0.39473684210526316,4,19,0.21052631578947367,4,6,0.6666666666666666,10.0,21.0,31,20.0,11,4.0,20.0,17.0,68,30,71,0.4225352112676056,2,6,0.3333333333333333,11,17,0.6470588235294118,18.0,29.0,47,18.0,12,4.0,27.0,13.0,73,L,-5
19,CLELAS1997-07-03,1997-07-03,1997,CLE,LAS,24,56,0.42857142857142855,0,7,0.0,14,18,0.7777777777777778,8.0,19.0,27,9.0,14,0.0,28.0,24.0,62,27,56,0.48214285714285715,3,10,0.3,17,29,0.5862068965517241,11.0,17.0,28,17.0,20,3.0,22.0,24.0,74,L,-12
20,UTAPHO1997-07-03,1997-07-03,1997,UTA,PHO,20,63,0.31746031746031744,3,15,0.2,12,26,0.46153846153846156,15.0,20.0,35,10.0,6,10.0,27.0,15.0,55,30,71,0.4225352112676056,7,16,0.4375,10,11,0.9090909090909091,14.0,23.0,37,25.0,17,6.0,17.0,25.0,77,L,-22
21,HOUNYL1997-07-04,1997-07-04,1997,HOU,NYL,22,59,0.3728813559322034,7,19,0.3684210526315789,7,13,0.5384615384615384,14.0,16.0,30,16.0,8,5.0,19.0,18.0,58,25,58,0.43103448275862066,5,15,0.3333333333333333,10,18,0.5555555555555556,10.0,19.0,29,13.0,13,8.0,15.0,14.0,65,L,-7
22,CHALAS1997-07-05,1997-07-05,1997,CHA,LAS,31,58,0.5344827586206896,3,10,0.3,13,20,0.65,8.0,23.0,31,26.0,8,4.0,21.0,12.0,78,27,60,0.45,2,11,0.18181818181818182,10,16,0.625,7.0,21.0,28,19.0,9,3.0,18.0,17.0,66,W,12
23,UTANYL1997-07-05,1997-07-05,1997,UTA,NYL,17,68,0.25,0,12,0.0,19,26,0.7307692307692307,20.0,25.0,45,12.0,14,2.0,21.0,24.0,53,19,55,0.34545454545454546,6,16,0.375,22,29,0.7586206896551724,11.0,29.0,40,11.0,11,2.0,24.0,21.0,66,L,-13
